Gyro_X,Gyro_Y,Time,Gesture,Type
108.77,18.63,250,55,R
143.59,30.19,300,55,R
143.57,7.85,350,55,R
113.81,16.51,400,55,R
89.67,-0.68,450,55,R
86.13,10.59,0,56,R
80.96,23.87,50,56,R
94.44,10.47,100,56,R
68.04,10.48,150,56,R
85.85,5.94,200,56,R
87.09,8.33,250,56,R
99.81,1.98,300,56,R
104.02,0.05,350,56,R
87.43,4.31,400,56,R
89.21,10.23,450,56,R
26.71,84.18,0,57,D
14.29,106.82,50,57,D
24.11,53.80,100,57,D
-22.59,75.52,150,57,D
2.16,39.08,200,57,D
-14.92,31.82,250,57,D
-11.38,50.50,300,57,D
-8.81,53.16,350,57,D
11.97,67.15,400,57,D
12.23,58.22,450,57,D
1.89,19.55,0,58,D
13.00,41.39,50,58,D
32.94,66.21,100,58,D
-7.52,94.57,150,58,D
34.40,85.87,200,58,D
32.68,74.97,250,58,D
-5.29,60.36,300,58,D
129.05,-46.65,350,58,D
16.27,10.20,400,58,D
2.57,5.27,450,58,D
7.19,16.40,0,59,D
21.47,21.69,50,59,D
18.61,15.45,100,59,D
32.49,25.03,150,59,D
48.67,52.38,200,59,D
46.31,63.45,250,59,D
33.67,75.81,300,59,D
52.75,82.67,350,59,D
4.39,69.05,400,59,D
2.71,65.23,450,59,D
3.25,6.66,0,60,D
0.85,11.19,50,60,D
1.27,4.98,100,60,D
8.36,11.19,150,60,D
18.33,45.70,200,60,D
88.55,110.27,250,60,D
14.25,131.37,300,60,D
24.47,87.56,350,60,D
-33.03,71.87,400,60,D
-23.54,31.55,450,60,D
-1.69,4.31,0,61,D
-4.74,1.66,50,61,D
1.17,15.11,100,61,D
-7.29,5.88,150,61,D
-5.78,9.75,200,61,D
-0.63,12.03,250,61,D
7.53,19.51,300,61,D
13.27,12.04,350,61,D
11.89,10.30,400,61,D
14.07,1.02,450,61,D
-1.47,7.68,0,62,D
-0.50,12.62,50,62,D
-2.52,2.27,100,62,D
-56.19,-12.04,150,62,D
-18.65,8.33,200,62,D
-5.41,44.91,250,62,D
-3.71,162.40,300,62,D
51.81,161.42,350,62,D
7.91,60.07,400,62,D
7.24,32.34,450,62,D
-13.87,104.01,0,63,D
29.99,97.73,50,63,D
13.49,60.09,100,63,D
-54.38,82.30,150,63,D
-10.87,31.19,200,63,D
4.37,25.01,250,63,D
-20.85,31.07,300,63,D
2.72,8.96,350,63,D
12.01,-1.17,400,63,D
-8.69,-35.66,450,63,D
11.10,28.31,0,64,D
22.35,60.65,50,64,D
0.39,43.02,100,64,D
28.06,47.09,150,64,D
46.03,76.04,200,64,D
15.65,69.27,250,64,D
42.22,96.13,300,64,D
3.84,48.81,350,64,D
-16.58,80.63,400,64,D
4.17,6.83,450,64,D
7.97,39.48,0,65,D
19.68,37.55,50,65,D
2.21,49.03,100,65,D
6.59,47.35,150,65,D
29.47,45.27,200,65,D
5.65,57.70,250,65,D
-9.40,56.11,300,65,D
14.46,53.87,350,65,D
-0.27,58.47,400,65,D
-15.96,70.61,450,65,D
7.77,90.15,0,66,D
13.36,78.95,50,66,D
14.08,79.47,100,66,D
31.36,74.34,150,66,D
9.12,79.89,200,66,D
38.48,60.75,250,66,D
34.39,75.37,300,66,D
17.64,69.87,350,66,D
26.91,32.39,400,66,D
-4.53,7.45,450,66,D
-65.99,2.83,0,67,L
-100.42,-3.41,50,67,L
-72.87,4.01,100,67,L
-88.57,-9.55,150,67,L
-48.67,-8.92,200,67,L
-82.01,8.23,250,67,L
-92.93,-3.18,300,67,L
-102.18,2.17,350,67,L
-72.45,-25.87,400,67,L
-76.25,-11.16,450,67,L
-84.63,17.58,0,68,L
-74.39,10.91,50,68,L
-89.97,13.12,100,68,L
-96.99,8.74,150,68,L
-90.95,2.76,200,68,L
-127.61,-0.94,250,68,L
-143.23,30.55,300,68,L
-79.29,5.66,350,68,L
-78.38,-4.35,400,68,L
-67.13,-8.00,450,68,L
-120.89,44.82,0,69,L
-107.96,9.34,50,69,L
-172.98,27.07,100,69,L
-142.53,2.17,150,69,L
-123.89,-1.58,200,69,L
-102.05,15.98,250,69,L
-81.94,4.29,300,69,L
-132.58,8.51,350,69,L
-109.94,0.12,400,69,L
-110.41,42.29,450,69,L
-118.04,-7.03,0,70,L
-172.74,19.63,50,70,L
-164.43,-2.91,100,70,L
-132.25,26.31,150,70,L
-101.32,-4.49,200,70,L
-96.55,-13.53,250,70,L
-217.78,17.90,300,70,L
-58.42,-48.01,350,70,L
-114.74,-57.13,400,70,L
-128.45,-16.92,450,70,L
-125.95,-1.77,0,71,L
-130.87,-9.29,50,71,L
-54.14,-17.80,100,71,L
-83.11,-8.87,150,71,L
-94.08,-13.96,200,71,L
-95.01,-17.04,250,71,L
-87.47,-5.91,300,71,L
-101.38,-24.86,350,71,L
-121.80,-66.46,400,71,L
-61.98,-86.87,450,71,L
-72.67,31.04,0,72,L
-194.13,-3.75,50,72,L
-135.73,-17.79,100,72,L
-105.02,-29.71,150,72,L
-74.24,-59.57,200,72,L
-100.43,-27.58,250,72,L
-102.07,-25.70,300,72,L
-154.37,-31.31,350,72,L
-144.28,-60.97,400,72,L
-106.97,-58.77,450,72,L
-42.62,6.77,0,73,L
-45.55,2.52,50,73,L
-56.48,7.68,100,73,L
-90.31,2.93,150,73,L
-61.41,2.17,200,73,L
-77.27,0.41,250,73,L
-79.98,-5.94,300,73,L
-86.20,-4.33,350,73,L
-67.03,-2.37,400,73,L
