Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Time,Gesture,Type
-15540,7588,8272,10730,-1655,-4174,250,13,R
-13468,7296,9376,7213,-11053,-1430,300,13,R
-12020,8192,9180,15201,-22082,-4591,350,13,R
-10864,9996,8444,17133,-26443,-5217,400,13,R
-9584,11548,7680,16319,-28217,-1245,450,13,R
-4480,3040,16196,5190,7387,-8761,0,14,R
-8676,6316,16856,7459,-9775,-5804,50,14,R
-6292,7852,15200,1937,-10107,-4166,100,14,R
-2176,7164,13936,-194,-13346,-6294,150,14,R
-1260,6064,14848,3048,-14762,-8722,200,14,R
-732,7904,15664,4382,-9751,-10067,250,14,R
-708,9828,12688,8640,-12399,-12239,300,14,R
-1248,11252,11276,8520,-12073,-8185,350,14,R
-996,12500,8656,6656,-5817,-4568,400,14,R
-1696,13328,9380,2872,-2653,-2044,450,14,R
-5756,8008,9044,1598,-18404,-14862,0,15,R
-2700,11380,11968,4625,-21394,-12099,50,15,R
5840,7692,17264,10460,-30850,-15940,100,15,R
-5064,21860,5716,3588,-26190,105,150,15,R
-368,12732,6488,1679,-27229,1115,200,15,R
648,18208,5524,7109,-11919,-1218,250,15,R
-5368,19256,824,509,-14410,3397,300,15,R
-3532,18260,-3428,-707,-8291,5308,350,15,R
-2108,17436,-472,-3471,-9855,10925,400,15,R
740,14736,-884,6272,5067,10280,450,15,R
5552,9448,10936,-2222,-32768,-9413,0,16,R
-2748,16480,20464,12830,-8866,-14005,50,16,R
-11312,15884,2136,7800,-3355,-14044,100,16,R
-7608,17500,3380,-19574,-32768,2900,150,16,R
5568,8712,14244,2414,-16606,-7396,200,16,R
-9848,16044,356,16018,11180,-17314,250,16,R
-13500,20424,-1388,-13126,-14181,6000,300,16,R
-9404,13632,5116,20122,27827,2314,350,16,R
2314,2314,2314,2314,2314,2314,400,16,R
2314,2314,2314,2314,2314,2314,450,16,R
-7936,9160,12416,11253,-9522,-17980,0,17,R
-6588,11820,10236,1469,-17966,-11411,50,17,R
-10460,11768,9328,-685,-15257,-12716,100,17,R
-1968,8928,13612,10316,-22653,-14670,150,17,R
-5224,11568,17484,11582,-19583,-21447,200,17,R
-25328,13116,3696,-16360,-32768,-1729,250,17,R
-13104,15324,13240,-4004,-20296,2066,300,17,R
-14248,16500,4536,4702,-22304,17892,350,17,R
-4328,13008,6836,3294,5795,21364,400,17,R
7112,7956,18092,22317,16018,22352,450,17,R
-10372,1108,12456,3828,-11665,-10766,0,18,R
-9892,2192,13248,2168,-3338,-16004,50,18,R
-5808,4200,14300,6783,-5929,-14776,100,18,R
-12572,-428,14696,6276,-3281,-17776,150,18,R
-7956,2832,14620,8240,-5445,-19060,200,18,R
-10184,3648,13200,-4165,-19495,-15710,250,18,R
-11232,5296,13764,-9393,-11770,-16764,300,18,R
-7180,10568,12748,-12893,-12985,-2626,350,18,R
-9496,9332,11496,215,2744,12110,400,18,R
-10544,4244,12804,7231,15932,22508,450,18,R
