-9832,-8852,10000,3971,3369,-4528,0,464,R
-9396,-8624,9632,4233,4843,-5279,50,464,R
-9768,-8540,9260,5174,5366,-6016,100,464,R
-9892,-8540,9344,5654,6819,-6932,150,464,R
-9936,-8620,9792,6298,4362,-7395,200,464,R
-8496,-8628,9828,6951,6102,-7570,250,464,R
-8644,-8596,10476,7897,5691,-7431,300,464,R
-7840,-8244,11536,7697,5838,-6549,350,464,R
-7692,-8144,11756,6758,8063,-5627,400,464,R
-7116,-7568,12284,7682,6118,-2684,450,464,R
-11360,-10376,5608,888,3267,-286,0,465,R
-13532,-10200,4316,5295,7075,-4345,50,465,R
-12428,-10144,5060,8079,2022,-7259,100,465,R
-11612,-9812,7276,11134,2919,-8182,150,465,R
-9656,-9448,9804,11768,-1300,-8894,200,465,R
-7408,-8768,11232,10066,-2302,-7285,250,465,R
-6352,-8740,11036,8755,-198,-6330,300,465,R
-7772,-9216,11448,7235,-2234,-4586,350,465,R
-7488,-9368,11616,9277,-3912,-4306,400,465,R
-6480,-8204,12828,7631,-3654,-5896,450,465,R
-4140,-6736,13240,-2624,-154,3458,0,466,R
-5024,-6796,13400,-751,-630,1762,50,466,R
-5788,-7024,13736,1024,211,-937,100,466,R
-6620,-6768,14692,1886,213,-3963,150,466,R
-5572,-6740,15412,1525,1713,-7245,200,466,R
-5364,-6220,15900,219,1775,-9987,250,466,R
-3492,-6384,15600,28,4032,-12789,300,466,R
-2920,-6692,14900,358,5959,-13900,350,466,R
-1960,-6032,14980,602,3217,-13786,400,466,R
-1300,-5756,14940,-223,2953,-12939,450,466,R
-6200,-4620,14212,8187,1050,-1317,0,467,R
-5660,-4096,15312,7996,2041,-781,50,467,R
-5160,-3800,15668,2740,810,-528,100,467,R
-6740,-2500,15340,73,316,650,150,467,R
-7776,-2208,14992,-3775,5371,1235,200,467,R
-8692,-2556,14848,-3491,978,147,250,467,R
-7364,-3368,12964,-2750,-475,294,300,467,R
-6864,-2760,14328,-3556,-4104,-1077,350,467,R
-2944,-5008,16352,-4096,-6621,7080,400,467,R
-9408,-8168,14268,-13836,-2857,11624,450,467,R
-10168,-9132,8828,1654,-1395,-67,0,468,R
-12028,-8888,7888,3677,346,328,50,468,R
-17060,-7928,6308,7293,8589,-5393,100,468,R
-15476,-7524,7068,15473,10258,-16171,150,468,R
-10596,-6408,9996,26661,12229,-24220,200,468,R
-4380,-6264,15220,28622,5049,-23110,250,468,R
-7524,3052,17336,16626,10069,-18337,300,468,R
-792,-1096,19520,4774,1827,-5267,350,468,R
-1724,-3796,16200,-7773,-804,4000,400,468,R
-5200,-5996,12484,-13165,-3750,10952,450,468,R
-11352,-9720,9592,5728,10431,-3323,0,469,R
-16448,-8832,7208,14672,21961,-12583,50,469,R
-14048,-7660,6660,21957,22332,-19292,100,469,R
-10860,-6196,10328,20851,13069,-20396,150,469,R
-7056,-6172,13400,15391,257,-15239,200,469,R
-3836,-4072,14980,10800,-1739,-9318,250,469,R
-2024,-3600,16356,6396,-2497,-3618,300,469,R
-1832,-4840,15636,-1203,-1753,3350,350,469,R
-4572,-5876,14040,-7851,-2368,8533,400,469,R
-7184,-7180,12276,-11575,-4046,11196,450,469,R
-12156,-9688,5444,8240,12211,-2141,0,470,R
-12572,-9556,5032,15726,11408,-7352,50,470,R
-13992,-7552,5400,20504,8861,-8664,100,470,R
-11852,-8004,6592,17738,3995,-9929,150,470,R
-11208,-7840,9776,17892,955,-8789,200,470,R
-10012,-6864,11808,13466,731,-8815,250,470,R
-8960,-4728,13500,10125,-626,-6972,300,470,R
-6992,-5408,13012,3877,290,-4844,350,470,R
-5940,-5488,12628,-199,194,-1016,400,470,R
-6512,-6472,11744,-5033,-1350,3830,450,470,R
-9200,-8356,10792,4928,3261,-4391,0,471,R
-9952,-8264,9732,12213,5767,-7650,50,471,R
-10308,-7304,9452,12843,4413,-9487,100,471,R
-8936,-6372,11576,14548,3256,-9487,150,471,R
-8768,-5320,12996,12362,3980,-8431,200,471,R
-5932,-5944,13352,13055,3122,-5174,250,471,R
-6764,-4344,14840,7401,2680,-5803,300,471,R
-6748,-4016,14080,3971,2504,-4113,350,471,R
-6744,-4264,14244,301,1461,-2159,400,471,R
-6632,-4552,13944,-4306,-116,906,450,471,R
-13432,-8336,8376,2642,7430,-6704,0,472,R
-12560,-7820,9316,6175,9189,-11080,50,472,R
-12524,-7648,9736,12584,10116,-15070,100,472,R
-11796,-6316,9348,14859,8537,-17151,150,472,R
-9508,-5116,11840,13111,7134,-14810,200,472,R
-9396,-5072,12420,10465,4391,-12611,250,472,R
-7708,-4792,13132,9910,-1167,-10757,300,472,R
-6916,-3792,13484,8467,-1875,-9098,350,472,R
-5088,-2848,14720,6708,-3636,-7157,400,472,R
-2344,-1512,15968,4719,-2492,-3546,450,472,R
-9168,-6856,12588,6161,-353,-14238,0,473,R
-7672,-5716,13968,8024,2595,-16584,50,473,R
-5580,-4752,15084,7385,1772,-17497,100,473,R
-4560,-4016,15284,7139,2759,-17146,150,473,R
-3520,-3900,14992,6368,2007,-15002,200,473,R
-2692,-3828,15648,5955,2562,-14240,250,473,R
-1900,-3760,15124,4949,2553,-11974,300,473,R
304,-3292,15772,4033,1086,-9054,350,473,R
2200,-2592,17388,1209,2499,-4531,400,473,R
1736,-3008,17712,-3819,1397,1523,450,473,R
-4932,-9072,11628,10638,-5390,2288,0,474,D
-6152,-9108,13372,13024,-77,717,50,474,D
-6320,-7092,14068,10695,2974,178,100,474,D
-7436,-7104,13904,8045,1302,-630,150,474,D
-6428,-6448,14940,8596,-59,-3126,200,474,D
-5240,-4920,16436,10280,2805,-5105,250,474,D
-4312,-3904,17856,5619,452,-3683,300,474,D
-3432,-2808,17968,2632,213,-2256,350,474,D
-3648,-2912,16304,-866,1360,-856,400,474,D
-4356,-3652,15256,-1370,1433,-157,450,474,D
-5588,-11808,7884,1497,67,297,0,475,D
-6340,-11348,8748,2663,-1767,1015,50,475,D
-6928,-11364,10276,2388,-956,986,100,475,D
-6156,-11100,10028,1441,-71,558,150,475,D
-5788,-11024,9036,2311,-1185,1482,200,475,D
-5608,-10572,9376,5998,-4590,3688,250,475,D
-6424,-9648,9436,12984,-7691,5631,300,475,D
-5892,-7932,11228,21213,-9335,6183,350,475,D
-5552,-4740,12908,27293,-8714,5237,400,475,D
-5156,-1144,15148,27217,-5866,3036,450,475,D
-172,-10180,11696,-3059,1037,-773,0,476,D
292,-10264,11080,-34,-800,-338,50,476,D
428,-9812,8720,501,-547,310,100,476,D
-1668,-9952,-2344,8268,6977,3893,150,476,D
-7360,-4356,-1804,32767,8812,-2402,200,476,D
-5904,3968,10412,32767,6475,-8704,250,476,D
-4556,12892,25396,32767,8121,-8119,300,476,D
-6416,18560,28964,21159,4722,-4226,350,476,D
-3712,16888,27972,6043,-3550,-102,400,476,D
-2572,10480,18000,-8729,1507,-957,450,476,D
-3320,-9020,13800,8348,-3487,2682,0,477,D
-3128,-7468,14220,8599,-3006,1688,50,477,D
-2736,-7132,14244,8603,-2657,1679,100,477,D
-2160,-6516,14580,11783,-1777,1807,150,477,D
-2696,-4524,15048,12870,-1733,2185,200,477,D
-2340,-3892,15544,9285,-1034,1887,250,477,D
-2240,-1916,16336,9491,-1154,2167,300,477,D
-2444,-1136,16544,6955,-366,1266,350,477,D
-1936,-424,16984,5043,-926,970,400,477,D
-3168,-736,15896,2645,-876,568,450,477,D
-3072,-14556,7196,332,-52,146,0,478,D
-2784,-14092,7780,-92,45,-287,50,478,D
-3432,-14532,7612,-283,-363,-64,100,478,D
-2904,-14088,7200,-117,-127,-384,150,478,D
-3168,-14116,7416,-215,-545,-169,200,478,D
-2644,-14188,7388,-469,290,-392,250,478,D
-2600,-14316,6992,-195,-931,-184,300,478,D
-196,-14928,2312,5669,-11434,3883,350,478,D
988,-13604,4884,27916,-11004,10696,400,478,D
-1416,-8716,9168,32767,-14085,11597,450,478,D
-2672,-10108,12424,4248,-778,-26,0,479,D
-2272,-9328,13332,4545,-420,-571,50,479,D
-2632,-8976,13296,4317,40,-275,100,479,D
-2796,-8528,13760,5143,-879,-265,150,479,D
-2412,-8008,14036,6252,-365,-704,200,479,D
-2220,-7492,14264,7311,206,-970,250,479,D
-2088,-6548,14812,7869,612,-770,300,479,D
-2412,-5544,15416,8103,-539,-103,350,479,D
-2432,-4808,15928,4967,-38,-402,400,479,D
-1876,-4184,16084,3971,-532,323,450,479,D
